"DriversKilled","drivers","front","rear","kms","PetrolPrice","VanKilled","law","date","year","month","day","week","wday","killedPerDriver","frontvrear"
107,1687,867,269,9059,0.102971811805368,12,0,"1969-01-01",1969,1,1,1,"Wed",0.0634262003556609,3.22304832713755
97,1508,825,265,7685,0.102362995884646,6,0,"1969-01-31",1969,1,31,5,"Fri",0.0643236074270557,3.11320754716981
102,1507,806,319,9963,0.102062490635914,12,0,"1969-03-02",1969,3,2,9,"Sun",0.0676841406768414,2.52664576802508
87,1385,814,407,10955,0.100873300511862,8,0,"1969-04-02",1969,4,2,14,"Wed",0.0628158844765343,2
119,1632,991,454,11823,0.101019672891934,10,0,"1969-05-02",1969,5,2,18,"Fri",0.0729166666666667,2.18281938325991
106,1511,945,427,12391,0.10058119170287,13,0,"1969-06-02",1969,6,2,22,"Mon",0.0701522170747849,2.21311475409836
110,1559,1004,522,13460,0.103773981457839,11,0,"1969-07-02",1969,7,2,27,"Wed",0.0705580500320718,1.92337164750958
106,1630,1091,536,14055,0.104076403554621,6,0,"1969-08-01",1969,8,1,31,"Fri",0.0650306748466258,2.03544776119403
107,1579,958,405,12106,0.103773981457839,10,0,"1969-09-01",1969,9,1,35,"Mon",0.0677644078530716,2.36543209876543
134,1653,850,437,11372,0.103026401330572,16,0,"1969-10-01",1969,10,1,40,"Wed",0.0810647307924985,1.94508009153318
147,2152,1109,434,9834,0.102730112155946,13,0,"1969-11-01",1969,11,1,44,"Sat",0.0683085501858736,2.55529953917051
180,2148,1113,437,9267,0.101997191539847,14,0,"1969-12-01",1969,12,1,48,"Mon",0.0837988826815642,2.54691075514874
125,1752,925,316,9130,0.101274563494893,14,0,"1970-01-01",1970,1,1,1,"Thurs",0.0713470319634703,2.92721518987342
134,1765,903,311,8933,0.10070397563972,6,0,"1970-01-31",1970,1,31,5,"Sat",0.0759206798866855,2.90353697749196
110,1717,1006,351,11000,0.100139606658898,8,0,"1970-03-02",1970,3,2,9,"Mon",0.064065230052417,2.86609686609687
102,1558,892,362,10733,0.0986211043713023,11,0,"1970-04-02",1970,4,2,14,"Thurs",0.0654685494223363,2.46408839779006
103,1575,990,486,12912,0.0983492854059603,7,0,"1970-05-02",1970,5,2,18,"Sat",0.0653968253968254,2.03703703703704
111,1520,866,429,12926,0.0980801772105387,13,0,"1970-06-02",1970,6,2,22,"Tues",0.0730263157894737,2.01864801864802
120,1805,1095,551,13990,0.0972792082183714,13,0,"1970-07-02",1970,7,2,27,"Thurs",0.0664819944598338,1.98729582577132
129,1800,1204,646,14926,0.0974106238350488,11,0,"1970-08-01",1970,8,1,31,"Sat",0.0716666666666667,1.86377708978328
122,1719,1029,456,12900,0.0974252365245483,11,0,"1970-09-01",1970,9,1,35,"Tues",0.0709714950552647,2.25657894736842
183,2008,1147,475,12034,0.0963806330037465,14,0,"1970-10-01",1970,10,1,40,"Thurs",0.0911354581673307,2.41473684210526
169,2242,1171,456,10643,0.0957389559626943,16,0,"1970-11-01",1970,11,1,44,"Sun",0.0753791257805531,2.56798245614035
190,2478,1299,468,10742,0.0951063062359475,14,0,"1970-12-01",1970,12,1,48,"Tues",0.0766747376916868,2.77564102564103
134,2030,944,356,10266,0.0967359671470176,17,0,"1971-01-01",1971,1,1,1,"Fri",0.0660098522167488,2.65168539325843
108,1655,874,271,10281,0.0961092224873678,16,0,"1971-01-31",1971,1,31,5,"Sun",0.0652567975830816,3.22509225092251
104,1693,840,354,11527,0.095367254851379,15,0,"1971-03-02",1971,3,2,9,"Tues",0.0614294152392203,2.3728813559322
117,1623,893,427,12281,0.0947095915871269,13,0,"1971-04-02",1971,4,2,14,"Fri",0.0720887245841035,2.09133489461358
157,1805,1007,465,13587,0.0941176202174608,13,0,"1971-05-02",1971,5,2,18,"Sun",0.0869806094182825,2.16559139784946
148,1746,973,440,13049,0.0935321548190638,15,0,"1971-06-02",1971,6,2,22,"Wed",0.0847651775486827,2.21136363636364
130,1795,1097,539,16055,0.0929540494377308,12,0,"1971-07-02",1971,7,2,27,"Fri",0.0724233983286908,2.03525046382189
140,1926,1194,646,15220,0.0928397862431927,6,0,"1971-08-01",1971,8,1,31,"Sun",0.0726895119418484,1.84829721362229
136,1619,988,457,13824,0.0927247362539862,9,0,"1971-09-01",1971,9,1,35,"Wed",0.0840024706609018,2.16192560175055
140,1992,1077,446,12729,0.0922696509793897,13,0,"1971-10-01",1971,10,1,40,"Fri",0.070281124497992,2.41479820627803
187,2233,1045,402,11467,0.0917066851479679,14,0,"1971-11-01",1971,11,1,44,"Mon",0.083743842364532,2.59950248756219
150,2192,1115,441,11351,0.0912620719433678,15,0,"1971-12-01",1971,12,1,48,"Wed",0.0684306569343066,2.52834467120181
159,2080,1005,359,10803,0.090711603254936,14,0,"1972-01-01",1972,1,1,1,"Sat",0.0764423076923077,2.79944289693593
143,1768,857,334,10548,0.090276328119195,3,0,"1972-01-31",1972,1,31,5,"Mon",0.0808823529411765,2.56586826347305
114,1835,879,312,12368,0.0899519176272147,12,0,"1972-03-02",1972,3,2,9,"Thurs",0.062125340599455,2.81730769230769
127,1569,887,427,13311,0.0890996386561615,13,0,"1972-04-01",1972,4,1,14,"Sat",0.0809432759719567,2.07728337236534
159,1976,1075,434,13885,0.0886791925043499,12,0,"1972-05-01",1972,5,1,18,"Mon",0.0804655870445344,2.47695852534562
156,1853,1121,486,14088,0.0881592888670634,8,0,"1972-06-01",1972,6,1,22,"Thurs",0.0841878035617917,2.30658436213992
138,1965,1190,569,16932,0.0889020568552906,8,0,"1972-07-02",1972,7,2,27,"Sun",0.0702290076335878,2.09138840070299
120,1689,1058,523,16164,0.0881813314444876,15,0,"1972-08-01",1972,8,1,31,"Tues",0.0710479573712256,2.02294455066922
117,1778,939,418,14883,0.0889402929599117,8,0,"1972-09-01",1972,9,1,36,"Fri",0.0658042744656918,2.24641148325359
170,1976,1074,452,13532,0.0877266104275971,5,0,"1972-10-01",1972,10,1,40,"Sun",0.0860323886639676,2.37610619469027
168,2397,1089,462,12220,0.087428846437772,17,0,"1972-10-31",1972,10,31,44,"Tues",0.0700876095118899,2.35714285714286
198,2654,1208,497,12025,0.0870354301608856,14,0,"1972-12-01",1972,12,1,49,"Fri",0.0746043707611153,2.43058350100604
144,2097,903,354,11692,0.0864499193294655,13,0,"1973-01-01",1973,1,1,1,"Mon",0.0686695278969957,2.55084745762712
146,1963,916,347,11081,0.0858726409121568,5,0,"1973-01-31",1973,1,31,5,"Wed",0.0743759551706572,2.63976945244957
109,1677,787,276,13745,0.0853982218357345,8,0,"1973-03-02",1973,3,2,9,"Fri",0.0649970184853906,2.85144927536232
131,1941,1114,472,14382,0.083821981233605,5,0,"1973-04-02",1973,4,2,14,"Mon",0.0674909840288511,2.36016949152542
151,2003,1014,487,14391,0.0845907801489325,12,0,"1973-05-02",1973,5,2,18,"Wed",0.0753869196205691,2.08213552361396
140,1813,1022,505,15597,0.0841369037739444,11,0,"1973-06-02",1973,6,2,22,"Sat",0.0772200772200772,2.02376237623762
153,2012,1114,619,16834,0.0837784051341314,13,0,"1973-07-02",1973,7,2,27,"Mon",0.0760437375745527,1.79967689822294
140,1912,1132,640,17282,0.0835107427259604,15,0,"1973-08-01",1973,8,1,31,"Wed",0.0732217573221757,1.76875
161,2084,1111,559,15779,0.0828063938633846,11,0,"1973-09-01",1973,9,1,35,"Sat",0.0772552783109405,1.98747763864043
168,2080,1008,453,13946,0.0811788933269884,11,0,"1973-10-01",1973,10,1,40,"Mon",0.0807692307692308,2.22516556291391
152,2118,916,418,12701,0.0828536069623417,10,0,"1973-11-01",1973,11,1,44,"Thurs",0.0717658168083097,2.19138755980861
136,2150,992,419,10431,0.0941901186933595,13,0,"1973-12-01",1973,12,1,48,"Sat",0.0632558139534884,2.36754176610979
113,1608,731,262,11616,0.0923998429510411,8,0,"1974-01-01",1974,1,1,1,"Tues",0.070273631840796,2.79007633587786
100,1503,665,299,10808,0.108161478199019,6,0,"1974-01-31",1974,1,31,5,"Thurs",0.0665335994677312,2.22408026755853
103,1548,724,303,12421,0.10721168869023,8,0,"1974-03-02",1974,3,2,9,"Sat",0.0665374677002584,2.38943894389439
103,1382,744,401,13605,0.114042966782082,14,0,"1974-04-02",1974,4,2,14,"Tues",0.0745296671490593,1.85536159600997
121,1731,910,413,14455,0.112454115810183,12,0,"1974-05-02",1974,5,2,18,"Thurs",0.0699017908723281,2.20338983050847
134,1798,883,426,15019,0.111316253290611,14,0,"1974-06-02",1974,6,2,22,"Sun",0.0745272525027809,2.07276995305164
133,1779,900,516,15662,0.11030125221242,13,0,"1974-07-02",1974,7,2,27,"Tues",0.074761101742552,1.74418604651163
129,1887,1057,600,16745,0.108197177376865,9,0,"1974-08-01",1974,8,1,31,"Thurs",0.068362480127186,1.76166666666667
144,2004,1076,459,14717,0.107027443082328,4,0,"1974-09-01",1974,9,1,35,"Sun",0.0718562874251497,2.3442265795207
154,2077,919,443,13756,0.104946980916917,13,0,"1974-10-01",1974,10,1,40,"Tues",0.0741454020221473,2.0744920993228
156,2092,920,412,12531,0.119357749193208,6,0,"1974-11-01",1974,11,1,44,"Fri",0.0745697896749522,2.23300970873786
163,2051,953,400,12568,0.117621904277373,15,0,"1974-12-01",1974,12,1,48,"Sun",0.0794734275962945,2.3825
122,1577,664,278,11249,0.133027420877451,12,0,"1975-01-01",1975,1,1,1,"Wed",0.0773620798985415,2.38848920863309
92,1356,607,302,11096,0.130845243689729,16,0,"1975-01-31",1975,1,31,5,"Fri",0.0678466076696165,2.00993377483444
117,1652,777,381,12637,0.128318477474772,7,0,"1975-03-02",1975,3,2,9,"Sun",0.0708232445520581,2.03937007874016
95,1382,633,279,13018,0.123547448292297,12,0,"1975-04-02",1975,4,2,14,"Wed",0.0687409551374819,2.26881720430108
96,1519,791,442,15005,0.118586811514179,10,0,"1975-05-02",1975,5,2,18,"Fri",0.0631994733377222,1.789592760181
108,1421,790,409,15235,0.116337480161004,9,0,"1975-06-02",1975,6,2,22,"Mon",0.0760028149190711,1.93154034229829
108,1442,803,416,15552,0.11516147558196,9,0,"1975-07-02",1975,7,2,27,"Wed",0.0748959778085992,1.93028846153846
106,1543,884,511,16905,0.114501197216867,6,0,"1975-08-01",1975,8,1,31,"Fri",0.0686973428386261,1.72994129158513
140,1656,769,393,14776,0.113522979499817,7,0,"1975-09-01",1975,9,1,35,"Mon",0.0845410628019324,1.95674300254453
114,1561,732,345,14104,0.111930179432996,13,0,"1975-10-01",1975,10,1,40,"Wed",0.0730301089045484,2.12173913043478
158,1905,859,391,12854,0.110610528503361,14,0,"1975-11-01",1975,11,1,44,"Sat",0.0829396325459318,2.19693094629156
161,2199,994,470,12956,0.11527438914664,13,0,"1975-12-01",1975,12,1,48,"Mon",0.0732150977717144,2.11489361702128
102,1473,704,266,12177,0.113793485966034,14,0,"1976-01-01",1976,1,1,1,"Thurs",0.0692464358452139,2.64661654135338
127,1655,684,312,11918,0.112349582098189,11,0,"1976-01-31",1976,1,31,5,"Sat",0.0767371601208459,2.19230769230769
125,1407,671,300,13517,0.111753469387189,11,0,"1976-03-02",1976,3,2,9,"Tues",0.0888415067519545,2.23666666666667
101,1395,643,373,14417,0.109642522576533,10,0,"1976-04-01",1976,4,1,14,"Thurs",0.0724014336917563,1.72386058981233
97,1530,771,412,15911,0.10844089510559,4,0,"1976-05-01",1976,5,1,18,"Sat",0.0633986928104575,1.87135922330097
112,1309,644,322,15589,0.107884938936114,8,0,"1976-06-01",1976,6,1,22,"Tues",0.0855614973262032,2
112,1526,828,458,16543,0.109084769191454,9,0,"1976-07-02",1976,7,2,27,"Fri",0.073394495412844,1.80786026200873
113,1327,748,427,17925,0.107571450111271,10,0,"1976-08-01",1976,8,1,31,"Sun",0.0851544837980407,1.75175644028103
108,1627,767,346,15406,0.106164022368002,10,0,"1976-09-01",1976,9,1,36,"Wed",0.066379840196681,2.21676300578035
128,1748,825,421,14601,0.106299999323319,5,0,"1976-10-01",1976,10,1,40,"Fri",0.0732265446224256,1.95961995249406
154,1958,810,344,13107,0.104825313000088,13,0,"1976-10-31",1976,10,31,44,"Sun",0.0786516853932584,2.3546511627907
